GROWTH_PLATFORM_NM,SVC_LINE_NM,PRACTICE_NM,SVC_AREA_NM,CAPACITY_GROUP_NM,JRS_NM,NEW_GROWTH_PLATFORM_NM,NEW_SVC_LINE_NM,NEW_PRACTICE_NM,ECONOMIC_MODEL_NM,NEW_SVC_AREA_NM,NEW_JRS_NM,PRACTICE_TYPE_NM,JRS_ACTION,COMMENTS
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Architect-IBM Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Architect-IBM Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Architect-IBM Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Architect-Red Hat Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,,New,no change,
,,,,,Application Architect-Red Hat Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Application Architect-Red Hat Cloud,New,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Architect-Red Hat Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Application Architect-Red Hat Cloud,New,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-AWS Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-AWS Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-AWS Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Azure Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Azure Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-Azure Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,To Be Deleted
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Google Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Google Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-Google Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-IBM Cloud Legacy Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-IBM Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-IBM Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,,Split,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-IBM Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Consultant-IBM Cloud,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Legacy Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,To Be Deleted
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Legacy Modernization Red Hat,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Application Consultant-Red Hat Cloud,New,deletion/migration,
,,,,,Application Consultant-Red Hat Cloud,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Application Consultant-Red Hat Cloud,New,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Red Hat Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,,New,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Consultant-Red Hat Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Application Consultant-Red Hat Cloud,New,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Alibaba Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Alibaba Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Cloud Low-touch Modernization,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-AWS Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-AWS Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Cloud Low-touch Modernization,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Azure Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Azure Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Cloud Low-touch Modernization,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,To Be Deleted
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Google Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Google Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Cloud Low-touch Modernization,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-IBM Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-IBM Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Application Developer-Cloud Low-touch Modernization,Split,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Red Hat Cloud Migration,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,,New,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Application Developer-Red Hat Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,,New,no change,"Otavio, please confirm, ?? In your deck"
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Business Sales & Delivery Executive-Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,Business Sales & Delivery Executive-Executive-Application Engineering Services,Intact,deletion/migration,Migrating to a new JR/S
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Project Manager-AWS Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Project Manager-Cloud Modernization,Split,deletion/migration,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Project Manager-Azure Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Project Manager-Cloud Modernization,Split,deletion/migration,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Project Manager-Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Migration Factory,Techology & SI,Migration Factory,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Project Manager-Google Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Project Manager-Cloud Modernization,Split,deletion/migration,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Project Manager-IBM Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,Application Engineering Services,Techology & SI,Application Engineering Services,Project Manager-Cloud Modernization,Split,deletion/migration,
Cloud Application Innovation,"CAS Advise, Move & Build",Migration Factory,CAM-Migration Factory MY,CAM - Conversion & Migration,Project Manager-Red Hat Cloud Modernization,Hybrid Cloud Services,Hybrid Cloud Transformation,OpenShift & Middleware,Techology & SI,OpenShift & Middleware,Project Manager-Red Hat Cloud Solutions,New,deletion/migration,
Cloud Application Innovation,"CAS Advise, Move & Build",N/A - Service Area not allocated,N/A - Service Area not allocated,CAM - Complex Programs,Project Manager-Complex Programs.Cloud Application Migration Svcs,Hybrid Cloud Services,Hybrid Cloud Transformation,Complex PM,Techology & SI,Complex PM,,JR/S Split,no change,may be deletion/migration eventually
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Application Architect-Security,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Application Developer-Data & Application Security,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Business Sales & Delivery Executive-Security & Privacy,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Business Transformation Consultant-IT Transition Consultancy,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Project Manager-Security & Privacy,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Security Consultant-Data & Application Security Services,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Security Consultant-Identity & Access Management,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Security Consultant-Intelligence & Operations,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Security Consultant-Risk & Compliance,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,"CAS Advise, Move & Build",Security & Privacy,CAM-Security & Privacy E1,CAM - Security & Privacy,Technical Consultant-IT Infrastructure & Endpoint Security,Hybrid Cloud Services,Hybrid Cloud Transformation,Security & Privacy,Techology & SI,Security & Privacy,,Intact,no change,
Cloud Application Innovation,CAS Manage,Automation,AMI-Automation MO,AMI - Automation,Application Architect-Application Automation,Hybrid Cloud Services,Hybrid Cloud Management,DevSecOps & IT Automation,Managed Services,AMS Automation,,Merge,no change,"Need to confirm Practice alignment; per Shai, Automation split to Hybrid Cloud Management; need to confirm practice name"
Cloud Application Innovation,CAS Manage,Automation,AMI-Automation MO,AMI - Automation,Application Developer-Cognitive Application Automation,Hybrid Cloud Services,Hybrid Cloud Management,DevSecOps & IT Automation,Managed Services,AMS Automation,,Merge,no change,"Need to confirm Practice alignment; per Shai, Automation split to Hybrid Cloud Management; need to confirm practice name"
Cloud Application Innovation,CAS Manage,Automation,AMI-Automation MO,AMI - Automation,Application Developer-RPA,Hybrid Cloud Services,Hybrid Cloud Management,DevSecOps & IT Automation,Managed Services,AMS Automation,,Merge,no change,"Need to confirm Practice alignment; per Shai, Automation split to Hybrid Cloud Management; need to confirm practice name"
Cloud Application Innovation,CAS Manage,Automation,AMI-Automation MO,AMI - Automation,Business Transformation Consultant-Application Automation,Hybrid Cloud Services,Hybrid Cloud Management,DevSecOps & IT Automation,Managed Services,AMS Automation,,Merge,no change,"Need to confirm Practice alignment; per Shai, Automation split to Hybrid Cloud Management; need to confirm practice name"
Cloud Application Innovation,CAS Manage,Automation,AMI-Automation MO,AMI - Automation,Project Manager-Application Automation,Hybrid Cloud Services,Hybrid Cloud Management,DevSecOps & IT Automation,Managed Services,AMS Automation,,Merge,no change,"Need to confirm Practice alignment; per Shai, Automation split to Hybrid Cloud Management; need to confirm practice name"
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Application Development and Maintenance MW,AMI - Project Management and Business Analysis,Complex Project Manager-ADM Innovation,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Application Development and Maintenance,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Application Development and Maintenance MW,AMI - Project Management and Business Analysis,Project Manager-ADM,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Application Development and Maintenance,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Architect-Cloud Integration,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Architect-EAI,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Architect-MuleSoft,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Architect-TIBCO,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Consultant-EAI,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Developer-EAI,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Developer-Geographic Information,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Developer-IBM Cloud Integration,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Developer-IBM Integration,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Developer-MuleSoft,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Enterprise Integration (Custom),Application Developer-TIBCO,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Go to Market,Business Sales & Delivery Executive-ADM Innovation,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,Business Sales & Delivery Executive-Executive-Custom & Exponential Tech,Rename,deletion/migration,specialty change from 'ADM Innovation' to 'Custom & Exponential Tech'
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Go to Market,Solution Representative-ADM Innovation,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Java and Web Development,Application Architect-Custom Development,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Java and Web Development,Application Architect-Java & Web Technologies,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Custom Application Development E3,AMI - Java and Web Development,Application Developer-Java & Web Technologies,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - AS/400,Application Architect-System i,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Legacy Application Management,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - AS/400,Application Developer-System i,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Legacy Application Management,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - DBMS,Application Architect-DBMS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Legacy Application Management,Application Architect-RDBMS,Rename,deletion/migration,
,,,,,Application Architect-RDBMS,#N/A,#N/A,Custom & Exponential  Tech Managed Services,#N/A,Legacy Application Management,Application Architect-RDBMS,#N/A,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - DBMS,Application Database Administrator-DBMS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,Application Database Administrator-RDBMS,Rename,deletion/migration,migrating to an existing JR/S
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - DBMS,Application Database Administrator-NoSQL Cloud Databases,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - DBMS,Application Database Administrator-RDBMS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - DBMS,Application Developer-DBMS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,Application Developer-RDBMS,Rename,deletion/migration,migrating to an existing JR/S
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - DBMS,Application Developer-NoSQL Cloud Databases,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - DBMS,Application Developer-RDBMS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Enterprise Integration (Custom),Application Developer-IT Service Management,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,IT Service Management,,Intact,change,change JR/S Service Area from 'AMI-Legacy Application Management MJ' to 'IT Service Management' within the ServiceNow Practice
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Learning Development,Application Developer-Content & Courseware Design,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Mainframe,Application Architect-zOS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Mainframe,Application Developer-Enterprise Platforms,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Mainframe,Application Developer-zOS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Mainframe,Technical Consultant-zOS,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Open Systems,Application Architect-AIX/UNIX/Linux,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Open Systems,Application Developer-Open Source,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Project Management and Business Analysis (Legacy),Business Analyst-ADM,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,"Anirban, should we change specialty from 'ADM'?"
Cloud Application Innovation,CAS Manage,Custom AMS,AMI-Legacy Application Management MJ,AMI - Project Management and Business Analysis (Legacy),Project Manager-Office Management,Hybrid Cloud Services,Hybrid Cloud Management,Custom & Exponential Tech,Managed Services,Custom & Exponential  Tech Managed Services,,Rename,no change,
